Actor,Rating,Title,Credit,Box Office,Year
George Clooney,47%,The Perfect Storm,Capt. Billy TyneDirector,$182.1M,2000
George Clooney,77%,"O Brother, Where Art Thou?",Everett Ulysses McGill,$45.2M,2000
George Clooney,94%,Three Kings,Major Archie Gates,--,1999
George Clooney,81%,"South Park: Bigger, Longer and Uncut",Actor,--,1999
George Clooney,93%,Out of Sight,Jack Foley,--,1998
George Clooney,79%,The Thin Red Line,Capt. Charles Bosche,--,1998
George Clooney,41%,The Peacemaker,Thomas Devoe,--,1997
George Clooney,88%,Full Tilt Boogie,Actor,--,1997
George Clooney,11%,Batman & Robin,Batman/Bruce Wayne,--,1997
George Clooney,47%,One Fine Day,Jack Taylor,--,1996
George Clooney,63%,From Dusk Till Dawn,Seth Gecko,--,1996
George Clooney,0%,Return of the Killer Tomatoes!,Matt,--,1988
